reading_plan_id,day,book_id,chapter,first_verse,last_verse
2,134,19,100,,
2,134,19,101,,
2,134,19,102,,
2,135,19,103,,
2,135,19,104,,
2,135,19,105,,
2,136,19,106,,
2,136,19,107,,
2,136,19,108,,
2,137,19,109,,
2,137,19,110,,
2,137,19,111,,
2,138,19,112,,
2,138,19,113,,
2,138,19,114,,
2,139,19,115,,
2,139,19,116,,
2,139,19,117,,
2,139,19,118,,
2,140,19,119,,
2,141,19,120,,
2,141,19,121,,
2,141,19,122,,
2,141,19,123,,
2,142,19,124,,
2,142,19,125,,
2,142,19,126,,
2,143,19,127,,
2,143,19,128,,
2,143,19,129,,
2,144,19,130,,
2,144,19,131,,
2,144,19,132,,
2,145,19,133,,
2,145,19,134,,
2,145,19,135,,
2,146,19,136,,
2,146,19,137,,
2,146,19,138,,
2,147,19,139,,
2,147,19,140,,
2,147,19,141,,
2,148,19,142,,
2,148,19,143,,
2,148,19,144,,
2,149,19,145,,
2,149,19,146,,
2,149,19,147,,
2,150,19,148,,
2,150,19,149,,
2,150,19,150,,
2,151,11,1,,
2,151,11,2,,
2,151,11,3,,
2,151,11,4,,
2,152,20,1,,
2,152,20,2,,
2,152,20,3,,
2,153,20,4,,
2,153,20,5,,
2,153,20,6,,
2,153,20,7,,
2,154,20,8,,
2,154,20,9,,
2,154,20,10,,
2,154,20,11,,
2,155,20,12,,
2,155,20,13,,
2,155,20,14,,
2,156,20,15,,
2,156,20,16,,
2,156,20,17,,
2,156,20,18,,
2,157,20,19,,
2,157,20,20,,
2,157,20,21,,
2,158,20,22,,
2,158,20,23,,
2,158,20,24,,
2,159,20,25,,
2,159,20,26,,
2,159,20,27,,
2,159,20,28,,
2,160,20,29,,
2,160,20,30,,
2,160,20,31,,
2,161,21,1,,
2,161,21,2,,
2,161,21,3,,
2,162,21,4,,
2,162,21,5,,
2,162,21,6,,
2,163,21,7,,
2,163,21,8,,
2,163,21,9,,
2,164,21,10,,
2,164,21,11,,
2,164,21,12,,
2,165,22,1,,
2,165,22,2,,
2,165,22,3,,
2,165,22,4,,
2,166,22,5,,
2,166,22,6,,
2,166,22,7,,
2,166,22,8,,
2,167,11,5,,
2,167,11,6,,
2,167,11,7,,
2,168,11,8,,
2,168,11,9,,
2,168,11,10,,
2,169,11,11,,
2,169,11,12,,
2,169,11,13,,
2,170,11,14,,
2,170,11,15,,
2,170,11,16,,
2,171,11,17,,
2,171,11,18,,
2,171,11,19,,
2,172,11,20,,
2,172,11,21,,
2,172,11,22,,
2,173,12,1,,
2,173,12,2,,
2,173,12,3,,
2,174,12,4,,
2,174,12,5,,
2,174,12,6,,
2,175,12,7,,
2,175,12,8,,
2,175,12,9,,
2,175,12,10,,
2,176,12,11,,
2,176,12,12,,
2,176,12,13,,
2,176,12,14,1,20
2,177,29,1,,
2,177,29,2,,
2,177,29,3,,
2,178,12,14,21,25
2,178,32,1,,
2,178,32,2,,
2,178,32,3,,
2,178,32,4,,
2,179,12,14,26,29
2,179,30,1,,
2,179,30,2,,
2,179,30,3,,
2,180,30,4,,
2,180,30,5,,
2,180,30,6,,
2,181,30,7,,
2,181,30,8,,
2,181,30,9,,
2,182,12,15,,
2,182,12,16,,
2,182,12,17,,
2,183,28,1,,
2,183,28,2,,
2,183,28,3,,
2,183,28,4,,
2,184,28,5,,
2,184,28,6,,
2,184,28,7,,
2,185,28,8,,
2,185,28,9,,
2,185,28,10,,
2,186,28,11,,
2,186,28,12,,
2,186,28,13,,
2,186,28,14,,
2,187,12,18,,
2,187,12,19,,
2,188,23,1,,
2,188,23,2,,
2,188,23,3,,
2,189,23,4,,
2,189,23,5,,
2,189,23,6,,
2,190,23,7,,
2,190,23,8,,
2,190,23,9,,
2,191,23,10,,
2,191,23,11,,
2,191,23,12,,
2,192,23,13,,
2,192,23,14,,
2,192,23,15,,
2,193,23,16,,
2,193,23,17,,
2,193,23,18,,
2,194,23,19,,
2,194,23,20,,
2,194,23,21,,
2,195,23,22,,
2,195,23,23,,
2,195,23,24,,
2,196,23,25,,
2,196,23,26,,
2,196,23,27,,
2,197,23,28,,
2,197,23,29,,
2,197,23,30,,
2,198,23,31,,
2,198,23,32,,
2,198,23,33,,
2,199,23,34,,
2,199,23,35,,
2,199,23,36,,
2,200,23,37,,
2,200,23,38,,
2,200,23,39,,
2,201,23,40,,
2,201,23,41,,
2,201,23,42,,
2,202,23,43,,
2,202,23,44,,
2,202,23,45,,
2,203,23,46,,
2,203,23,47,,
2,203,23,48,,
2,204,23,49,,
2,204,23,50,,
2,204,23,51,,
2,205,23,52,,
2,205,23,53,,
2,205,23,54,,
2,206,23,55,,
2,206,23,56,,
2,206,23,57,,
2,207,23,58,,
2,207,23,59,,
2,207,23,60,,
2,208,23,61,,
2,208,23,62,,
2,208,23,63,,
2,209,23,64,,
2,209,23,65,,
2,209,23,66,,
2,210,33,1,,
2,210,33,2,,
2,210,33,3,,
2,210,33,4,,
2,211,33,5,,
2,211,33,6,,
2,211,33,7,,
2,212,34,1,,
2,212,34,2,,
2,212,34,3,,
2,213,12,20,,
2,213,12,21,,
2,214,36,1,,
2,214,36,2,,
2,214,36,3,,
2,215,35,1,,
2,215,35,2,,
2,215,35,3,,
2,216,12,22,,
2,216,12,23,,
2,216,12,24,,
2,216,12,25,,
2,217,31,1,,
2,217,24,1,,
2,217,24,2,,
2,218,24,3,,
2,218,24,4,,
2,218,24,5,,
2,219,24,6,,
2,219,24,7,,
2,219,24,8,,
2,220,24,9,,
2,220,24,10,,
2,220,24,11,,
2,220,24,12,,
2,221,24,13,,
2,221,24,14,,
2,221,24,15,,
2,221,24,16,,
2,222,24,17,,
2,222,24,18,,
2,222,24,19,,
2,222,24,20,,
2,223,24,21,,
2,223,24,22,,
2,223,24,23,,
2,224,24,24,,
2,224,24,25,,
2,224,24,26,,
2,225,24,27,,
2,225,24,28,,
2,225,24,29,,
2,226,24,30,,
2,226,24,31,,
2,226,24,32,,
2,227,24,33,,
2,227,24,34,,
2,227,24,35,,
2,227,24,36,,
2,228,24,37,,
2,228,24,38,,
2,228,24,39,,
2,229,24,40,,
2,229,24,41,,
2,229,24,42,,
2,230,24,43,,
2,230,24,44,,
2,230,24,45,,
2,230,24,46,,
2,231,24,47,,
2,231,24,48,,
2,231,24,49,,
2,232,24,50,,
2,232,24,51,,
2,232,24,52,,
2,233,25,1,,
2,233,25,2,,
2,233,25,3,,
2,233,25,4,,
2,233,25,5,,
2,234,13,1,,
2,234,13,2,,
2,234,13,3,,
2,235,13,4,,
2,235,13,5,,
2,235,13,6,,
2,236,13,7,,
2,236,13,8,,
2,236,13,9,,
2,237,13,10,,
2,237,13,11,,
2,237,13,12,,
2,237,13,13,,
2,238,13,14,,
2,238,13,15,,
2,238,13,16,,
2,239,13,17,,
2,239,13,18,,
2,239,13,19,,
2,240,13,20,,
2,240,13,21,,
2,240,13,22,,
2,240,13,23,,
2,241,13,24,,
2,241,13,25,,
2,241,13,26,,
2,242,13,27,,
2,242,13,28,,
2,242,13,29,,
2,243,14,1,,
2,243,14,2,,
2,243,14,3,,
2,244,14,4,,
2,244,14,5,,
2,244,14,6,,
2,245,14,7,,
2,245,14,8,,
2,245,14,9,,
2,246,14,10,,
2,246,14,11,,
2,246,14,12,,
2,246,14,13,,
2,247,14,14,,
2,247,14,15,,
2,247,14,16,,
2,248,14,17,,
2,248,14,18,,
2,248,14,19,,
2,249,14,20,,
2,249,14,21,,
2,249,14,22,,
2,250,14,23,,
2,250,14,24,,
2,250,14,25,,
2,251,14,26,,
2,251,14,27,,
2,251,14,28,,
2,251,14,29,,
2,252,14,30,,
2,252,14,31,,
2,252,14,32,,
2,253,14,33,,
2,253,14,34,,
2,253,14,35,,
2,253,14,36,,
2,254,26,1,,
2,254,26,2,,
2,254,26,3,,
2,255,26,4,,
2,255,26,5,,
2,255,26,6,,
2,255,26,7,,
2,256,26,8,,
2,256,26,9,,
2,256,26,10,,
2,256,26,11,,
2,257,26,12,,
2,257,26,13,,
2,257,26,14,,
2,258,26,15,,
2,258,26,16,,
2,258,26,17,,
2,258,26,18,,
2,259,26,19,,
2,259,26,20,,
2,259,26,21,,
2,260,26,22,,
2,260,26,23,,
2,260,26,24,,
2,261,26,25,,
2,261,26,26,,
2,261,26,27,,
2,262,26,28,,
2,262,26,29,,
2,262,26,30,,
2,263,26,31,,
2,263,26,32,,
2,263,26,33,,
2,264,26,34,,
2,264,26,35,,
2,264,26,36,,
2,265,26,37,,
2,265,26,38,,
2,265,26,39,,
2,266,26,40,,
2,266,26,41,,
2,266,26,42,,
2,267,26,43,,
2,267,26,44,,
2,267,26,45,,
2,268,26,46,,
2,268,26,47,,
2,268,26,48,,
2,269,27,1,,
2,269,27,2,,
2,269,27,3,,
2,270,27,4,,
2,270,27,5,,
2,270,27,6,,
2,271,27,7,,
2,271,27,8,,
2,271,27,9,,
2,272,27,10,,
2,272,27,11,,
2,272,27,12,,
2,273,17,1,,
2,273,17,2,,
2,273,17,3,,
2,274,17,4,,
2,274,17,5,,
2,274,17,6,,
2,274,17,7,,
2,275,17,8,,
2,275,17,9,,
2,275,17,10,,
2,276,15,1,,
2,276,15,2,,
2,276,15,3,,
2,276,15,4,,
2,277,37,1,,
2,277,37,2,,
2,277,38,1,,
2,277,38,2,,
2,278,38,3,,
2,278,38,4,,
2,278,38,5,,
2,278,38,6,,
2,279,38,7,,
2,279,38,8,,
2,279,38,9,,
2,279,38,10,,
2,280,38,11,,
2,280,38,12,,
2,280,38,13,,
2,280,38,14,,
2,281,15,5,,
2,281,15,6,,
2,281,15,7,,
2,282,15,8,,
2,282,15,9,,
2,282,15,10,,
2,283,16,1,,
2,283,16,2,,
2,283,16,3,,
2,284,16,4,,
2,284,16,5,,
2,284,16,6,,
2,285,16,7,,
2,285,16,8,,
2,285,16,9,,
2,286,16,10,,
2,286,16,11,,
2,286,16,12,,
2,286,16,13,,
2,287,39,1,,
2,287,39,2,,
2,287,39,3,,
2,287,39,4,,
2,288,40,1,,
2,288,40,2,,
2,288,40,3,,
2,288,40,4,,
2,289,40,5,,
2,289,40,6,,
2,289,40,7,,
2,290,40,8,,
2,290,40,9,,
2,290,40,10,,
2,290,40,11,,
2,291,40,12,,
2,291,40,13,,
2,291,40,14,,
2,291,40,15,,
2,292,40,16,,
2,292,40,17,,
2,292,40,18,,
2,292,40,19,,
2,293,40,20,,
2,293,40,21,,
2,293,40,22,,
2,294,40,23,,
2,294,40,24,,
2,294,40,25,,
2,295,40,26,,
2,295,40,27,,
2,295,40,28,,
2,296,41,1,,
2,296,41,2,,
2,296,41,3,,
2,297,41,4,,
2,297,41,5,,
2,297,41,6,,
2,298,41,7,,
2,298,41,8,,
2,298,41,9,,
2,298,41,10,,
2,299,41,11,,
2,299,41,12,,
2,299,41,13,,
2,300,41,14,,
2,300,41,15,,
2,300,41,16,,
2,301,42,1,,
2,301,42,2,,
2,301,42,3,,
2,302,42,4,,
2,302,42,5,,
2,302,42,6,,
2,303,42,7,,
2,303,42,8,,
2,303,42,9,,
2,304,42,10,,
2,304,42,11,,
2,304,42,12,,
2,304,42,13,,
2,305,42,14,,
2,305,42,15,,
2,305,42,16,,
2,305,42,17,,
2,306,42,18,,
2,306,42,19,,
2,306,42,20,,
2,306,42,21,,
2,307,42,22,,
2,307,42,23,,
2,307,42,24,,
2,308,43,1,,
2,308,43,2,,
2,308,43,3,,
2,309,43,4,,
2,309,43,5,,
2,309,43,6,,
2,310,43,7,,
2,310,43,8,,
2,310,43,9,,
2,310,43,10,,
2,311,43,11,,
