reading_plan_id,day,book_id,chapter,first_verse,last_verse
1,113,6,6,,
1,113,18,23,,
1,114,44,10,1,33
1,114,6,7,,
1,114,6,8,,
1,114,18,24,,
1,115,44,10,34,48
1,115,6,9,,
1,115,6,10,,
1,115,18,25,,
1,116,44,11,1,18
1,116,6,11,,
1,116,6,12,,
1,116,18,26,,
1,117,44,11,19,30
1,117,6,13,,
1,117,6,14,,
1,117,18,27,,
1,118,44,12,,
1,118,6,15,,
1,118,6,16,,
1,118,6,17,,
1,118,18,28,,
1,119,44,13,1,25
1,119,6,18,,
1,119,6,19,,
1,119,18,29,,
1,120,44,13,26,52
1,120,6,20,,
1,120,6,21,,
1,120,18,30,,
1,121,44,14,,
1,121,6,22,,
1,121,18,31,,
1,122,44,15,1,21
1,122,6,23,,
1,122,6,24,,
1,122,18,32,,
1,123,44,15,22,41
1,123,7,1,,
1,123,18,33,,
1,124,44,16,1,15
1,124,7,2,,
1,124,7,3,,
1,124,18,34,,
1,125,44,16,16,40
1,125,7,4,,
1,125,7,5,,
1,125,18,35,,
1,126,44,17,1,15
1,126,7,6,,
1,126,18,36,,
1,127,44,17,16,34
1,127,7,7,,
1,127,7,8,,
1,127,18,37,,
1,128,44,18,,
1,128,7,9,,
1,128,18,38,,
1,129,44,19,1,20
1,129,7,10,,
1,129,7,11,1,33
1,129,18,39,,
1,130,44,19,21,41
1,130,7,11,34,40
1,130,7,12,,
1,130,18,40,,
1,131,44,20,1,16
1,131,7,13,,
1,131,18,41,,
1,132,44,20,17,38
1,132,7,14,,
1,132,7,15,,
1,132,18,42,,
1,133,44,21,1,36
1,133,7,16,,
1,133,19,42,,
1,134,44,21,37,40
1,134,44,22,1,29
1,134,7,17,,
1,134,7,18,,
1,134,19,43,,
1,135,44,22,,30
1,135,44,23,1,22
1,135,7,19,,
1,135,19,44,,
1,136,44,23,23,35
1,136,44,24,1,9
1,136,7,20,,
1,136,19,45,,
1,137,44,24,10,27
1,137,7,21,,
1,137,19,46,,
1,138,44,25,,
1,138,8,1,,
1,138,8,2,,
1,138,19,47,,
1,139,44,26,1,18
1,139,8,3,,
1,139,8,4,,
1,139,19,48,,
1,140,44,26,19,32
1,140,9,1,,
1,140,9,2,1,11
1,140,19,49,,
1,141,44,27,1,12
1,141,9,2,12,36
1,141,19,50,,
1,142,44,27,13,44
1,142,9,3,,
1,142,19,51,,
1,143,44,28,1,15
1,143,9,4,,
1,143,9,5,,
1,143,19,52,,
1,144,44,28,16,31
1,144,9,6,,
1,144,9,7,,
1,144,19,53,,
1,145,45,1,1,15
1,145,9,8,,
1,145,19,54,,
1,146,45,1,16,32
1,146,9,9,,
1,146,9,10,1,16
1,146,19,55,,
1,147,45,2,,
1,147,45,3,1,8
1,147,9,10,17,27
1,147,9,11,,
1,147,19,56,,
1,148,45,3,9,31
1,148,9,12,,
1,148,19,57,,
1,149,45,4,,
1,149,9,13,,
1,149,19,58,,
1,150,45,5,,
1,150,9,14,,
1,150,19,59,,
1,151,45,6,,
1,151,9,15,,
1,151,19,60,,
1,152,45,7,,
1,152,9,16,,
1,152,19,61,,
1,153,45,8,,
1,153,9,17,1,54
1,153,19,62,,
1,154,45,9,1,29
1,154,9,17,55,58
1,154,9,18,,
1,154,19,63,,
1,155,45,9,30,33
1,155,45,10,,
1,155,9,19,,
1,155,19,64,,
1,156,45,11,1,24
1,156,9,20,,
1,156,19,65,,
1,157,45,11,25,36
1,157,9,21,,
1,157,9,22,,
1,157,19,66,,
1,158,45,12,,
1,158,9,23,,
1,158,9,24,,
1,158,19,67,,
1,159,45,13,,
1,159,9,25,,
1,159,19,68,,
1,160,45,14,,
1,160,9,26,,
1,160,19,69,,
1,161,45,15,1,13
1,161,9,27,,
1,161,9,28,,
1,161,19,70,,
1,162,45,15,14,33
1,162,9,29,,
1,162,9,30,,
1,162,9,31,,
1,162,19,71,,
1,163,45,16,,
1,163,10,1,,
1,163,19,72,,
1,164,41,1,1,20
1,164,10,2,,
1,164,10,3,,1
1,164,27,1,,
1,165,41,1,21,45
1,165,10,3,2,39
1,165,27,2,1,23
1,166,41,2,,
1,166,10,4,,
1,166,10,5,,
1,166,27,2,24,49
1,167,41,3,1,19
1,167,10,6,,
1,167,27,3,,
1,168,41,3,20,35
1,168,10,7,,
1,168,10,8,,
1,168,27,4,,
1,169,41,4,1,20
1,169,10,9,,
1,169,10,10,,
